WW_StaNumb,WW_Station,WBID,WB_Type,Site_DESCR,PARKING_ACCESS,Town,BorderTown,COUNTY,State,LAT_DD,LON_DD,ProjID,Year_added,Active,Status,DepthCode,MaxDepth_m,PublicAcce,LakeAcreag,sq__meter,HUC_8,HUC_10,HUC_12,HUC_10_NAME,HUC_12_NAME,Image,elevation_Feet,elevation_meters,Ord_Id
262,WW262,RI0010043E-02,Salt Pond,Green Hill Pond - Sea Lea (Allen Cove),,Charlestown,,WASHINGTON,RI,41.369175,-71.625053,12,2004,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,-1.3,-0.4,SPC
263,WW263,RI0010043E-02,Salt Pond,Green Hill Pond - Teal Road,,South Kingstown,,WASHINGTON,RI,41.37732,-71.609808,12,2004,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,-0.9,-0.3,SPC
265,WW265,RI0010043E-04A,Salt Pond,Ninigret Pond - Crawford Dock,,Charlestown,,WASHINGTON,RI,41.347473,-71.697365,12,2004,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,,0,SPC
268,WW268,RI0010043E-04A,Salt Pond,Ninigret Pond - Stumpy Point,,Charlestown,,WASHINGTON,RI,41.378807,-71.646278,12,2004,2022,Active,D,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,,0,SPC
271,WW271,RI0010043E-04A,Salt Pond,Ninigret Pond - Vigna's Dock,,Charlestown,,WASHINGTON,RI,41.369907,-71.639336,12,2004,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,,0,SPC
309,WW309,RI0010043E-07,Salt Pond,Quonochontaug Pond - Judge's Rock,,Westerly,,WASHINGTON,RI,41.333056,-71.747167,12,2008,2022,Active,D,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,-8.7,-2.6,SPC
344,WW344,RI0010043E-06A,Salt Pond,Pt Judith Pond - Gardiner Island,,South Kingstown,,WASHINGTON,RI,41.407192,-71.508003,12,2007,2022,Active,D,,Yes,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,-3.3,-1,SPC
346,WW346,RI0010043E-07,Salt Pond,Quonochontaug Pond - N. of Bill's Is.,,Charlestown,,WASHINGTON,RI,41.343723,-71.71936,12,2009,2022,Active,D,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,,0,SPC
348,WW348,RI0010043E-04A,Salt Pond,Ninigret Pond - Potato Point,,Charlestown,,WASHINGTON,RI,41.368599,-71.646606,12,2008,2022,Active,D,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,,0,SPC
415,WW415,RI0010043E-04A,Salt Pond,Ninigret Pond - Western Basin,,Charlestown,,WASHINGTON,RI,41.353184,-71.681183,12,2007,2022,Active,D,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,,0,SPC
416,WW416,RI0010043E-06K,Salt Pond,Pt Judith Pond - Champlin's Cove,,Narragansett,,WASHINGTON,RI,41.406666,-71.491638,12,2007,2022,Active,S,,Yes,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,,0,SPC
417,WW417,RI0010043E-06B,Salt Pond,Pt Judith Pond - Ram Point,,South Kingstown,,WASHINGTON,RI,41.425194,-71.496613,12,2007,2022,Active,D,,Yes,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,-2.2,-0.7,SPC
418,WW418,RI0010043E-07,Salt Pond,Quonochontaug Pond - Harmonic Cove Buoy,,Westerly,,WASHINGTON,RI,41.337334,-71.738197,12,2007,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,-7.5,-2.3,SPC
419,WW419,RI0010043E-07,Salt Pond,Quonochontaug Pond - Harmonic Cove Channel,,Westerly,,WASHINGTON,RI,41.333752,-71.737358,12,2007,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,-13.7,-4.2,SPC
491,WW491,RI0010043L-12,Salt Pond,Potter's Pond - North,,South Kingstown,,WASHINGTON,RI,41.395025,-71.539232,12,2010,2022,Active,S,,Yes,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,-4,-1.2,SPC
492,WW492,RI0008039L-01,Salt Pond,Winnapaug Pond - East Basin,,Westerly,,WASHINGTON,RI,41.332358,-71.780639,12,2010,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,,0,SPC
